國文,數學,英文
82,100,70
68,70,59
84,92,86
50,50,70
96,73,54
64,86,88
60,55,99
81,56,95
76,69,99
57,97,74
98,87,94
86,94,84
88,93,87
67,83,60
94,97,52
95,50,63
64,83,50
81,54,80
58,55,85
68,89,68
91,96,67
77,84,61
82,74,73
76,100,90
69,86,73
67,56,54
84,67,71
98,91,93
61,73,67
62,60,88
74,51,99
75,84,93
70,58,96
50,69,91
79,86,71
61,100,66
77,75,57
95,58,92
79,52,76
91,86,65
50,60,52
53,59,63
84,68,88
99,55,85
79,87,96
58,57,61
100,78,91
59,60,58
73,80,84
59,52,73
